epoch,accuracy,loss,val_accuracy,val_loss
0,0.8461740016937256,0.3551889955997467,0.9604401588439941,0.1197180300951004
1,0.933765709400177,0.1682046353816986,0.973539412021637,0.07293000817298889
2,0.9571540951728821,0.1174628883600235,0.9766832590103149,0.05711381882429123
3,0.9633778929710388,0.1003783792257309,0.9824469685554504,0.04931638762354851
4,0.9731394052505493,0.07652448117733002,0.9832329154014587,0.04331594333052635
5,0.9777253866195679,0.0634109228849411,0.985066831111908,0.040860723704099655
6,0.9818527102470398,0.05461928993463516,0.9869006872177124,0.03219510242342949
7,0.9840801954269409,0.04916631802916527,0.9895205497741699,0.029410775750875473
8,0.986307680606842,0.04097892716526985,0.9900445342063904,0.026256639510393143
9,0.9877489805221558,0.036774203181266785,0.9895205497741699,0.027393797412514687
